ウォーフェア・マスタリー	Warfare Mastery
神秘的な異世界の存在と交信し 強大な力を得る しかし生命力を代償とする	Mysterious otherworldly entities offer great power to Spirit Masters who can commune with them.  The cost, however, is measured in life.
スペル・ブレイカー	Spell Breaker
負のエネルギーパルスで、味方にかけられた 負の魔法や敵の支援魔法を打ち消す 又、敵のエナジーを減少させる	A pulse of negatively charged energy dispels hostile enchantments on allies or, when cast on enemies, breaks their beneficial enchantments and negates a portion of their energy.  This attack inflicts bonus damage when used against Magical creatures.
スペル・ショック	Spell Shock
スペル・ブレイカーが 敵の支援魔法を打ち消すと同時に エナジー燃焼ダメージを与え 敵の魔法使いのスキルを使用する能力を奪う	Inflicts energy burn damage and disrupts enemy spell-casters' ability to use skills as their beneficial enchantments are abruptly shattered by Spell Breaker.
シルヴァン・ニンフ	Sylvan Nymph
強力な森の精ニンフを召喚する 味方の力を増幅する魔法を使い 魔法の弓で敵を射止める	Summons a powerful forest Nymph who can bring down enemies with her magical bow and cast enchantments to strengthen allies in battle.
コール・オブ・ワイルド	Call of the Wild
狼を召喚し戦場で共に戦う レベルが高くなると 一度に複数の狼を召還できる	Summons a wolf companion to fight with you in battle.  At higher levels more wolves can be controlled at once.
ハート・オブ・オーク	Heart of Oak
術者と周囲の仲間の生命力を高める	Bolsters the life-force of yourself and nearby allies.
トランキリティ・オブ・ウォーター	Tranquility of Water
ハート・オブ・オークの効果範囲内で エナジー消費量が半減するチャンスが加わる	Provides a chance to use skills at 50% reduced energy cost while under the effect of Heart of Oak.
パーマネンス・オブ・ストーン	Permanence of Stone
エレメンタル系の攻撃による ダメージを減少させ 味方をエレメンタルから守る	Protects allies from the elements, reducing the damage caused by elemental based attacks.
レジリエンス	Resilience
アドレナリンの発動頻度が増加する	Increases how often an Adrenaline rush can be triggered.
防護石	Stone of Protection
受けるダメージが大幅に減少する	Damage taken is greatly reduced.
戦いの石碑	Battle Marker
攻撃速度とダメージが増加する	Attack speed and damage are increased.
刺突石	Stone of Thorns
ギザギザの棘が体から生え 愚かにも攻撃してきた敵を傷つける	Jagged thorns sprout from the player's body, damaging any enemies foolish enough to attack.
俊足の石碑	Fleetfoot Marker
移動速度が大幅に増加する	The player's movement speed is greatly enhanced.
熟練石	Stone of Mastery
全てのスキルを、より習熟する。	Grants the player improved proficiency with all skills.
マークスマンシップ	Marksmanship
矢が高速で放ち、刺突ダメージが増加する {^y}左クリックにこのスキルを割り当てよう	Marksmanship skill allows you to create and fire arrows that fly faster and increase pierce damage.  {^y}Assign this skill to your left mouse button.
パンクチャー・ショット・アロー	Puncture Shot Arrows
流線型のシャフトを取り入れる 敵を貫通し直線上の敵にダメージを与える	Incorporating a more streamlined shaft into your arrows allows them to pass through targets and hit additional enemies in their path.
スキャッター・ショット・アロー	Scatter Shot Arrows
矢作りの秘術を習得し特殊な矢尻を作る 敵に当たった瞬間に爆発し 鋭い破片が全方向に散らばる	A secret of master fletchers is the ability to craft special arrow heads that burst on impact sending out razor-sharp fragments in all directions.
ゴージ	Gouge
槍か弓を使った戦闘技術 深手を負わせ出血ダメージを与える	A combat technique that uses the spear or bow to inflict deep wounds that will result in prolonged bleeding.
ヴォレー	Volley
槍か弓を使った戦闘技術 高速で3回連続攻撃を行う	A combat technique that uses the spear or bow to rapidly strike three times.
バトル・スタンダード	Battle Standard
権威ある軍旗を立て、周囲の味方を勇気づける	Throw down a mighty standard to embolden the hearts of nearby allies.
凍結石	Frostbite Stone
冷気の力で武器が強化される 敵を動きを大幅に遅くし 少量のダメージを追加する	The player's weapon is infused with the essence of frost, slowing enemies greatly and causing small amounts of damage.
ハート・オブ・オーク	Heart of Oak
ニンフが樫の精の力を引き出し 味方をダメージから守りヘルスを増加させる	Nymph draws on the spirit of oak to protect allies from damage and augment their life.
モール	Maul
噛み付き攻撃で敵の肉を引き裂き 短時間の出血ダメージを与える	A gnawing attack that rends enemy flesh causing bleed damage for a short duration.
パーマネンス・オブ・ストーン	Permanence of Stone
エレメンタル系の攻撃によるダメージを減少させ 味方をエレメンタルから守る	Protects allies from the elements reducing the damage caused by elemental based attacks.
トライアンフ	Triumph
自分の勝利が確実であることを敵に悟らせる 敵は希望を失い腕力が落ち攻撃力が低下する	Seeing the inevitability of your triumph, enemies lose hope and the strength of their attack diminishes.
エナジー・シールド	Energy Shield
エナジーシールドを作り出し エレメンタルダメージを全て無効化する	Creates a shield of energy that will nullify incoming damage from elemental attacks.
リフレクション	Reflection
エナジー・シールドに攻撃したきた敵に ダメージを跳ね返すことができる	Gives Energy Shield the ability to reflect a portion of enemy attack damage back at them.
ソフン・メタル	Soften Metal
リング・オブ・フレイムの高熱で 敵の鎧と武器を溶かし、その効果を減少させる	Intense heat from the Ring of Flame softens the metal of enemy armor and weapons, decreasing their effectiveness.
ヴォラティヴィティ	Volativity
大地の不安定なエネルギーを増幅し 術者の炎攻撃のダメージが大幅に増加する チャンスがある	Enhanced by the volatile energy of the Earth, your fire attacks have a chance of inflicting greatly increased damage.
ヒート・シールド	Heat Shield
ターゲットに炎ダメージを吸収する 熱風の盾を与える	Casts a protective heat shield on the target that absorbs damage, especially from fire.
バラージ	Barrage
フレイム・サージのリチャージ時間と エナジー消費量が減少する	Reduces the recharge time of Flame Surge allowing it to be cast more frequently and efficiently.
ファティーグ	Fatigue
病気に罹った敵は体力を奪われ 動作が鈍くなり攻撃力も低下する	Saps the strength from diseased enemies causing them to move more slowly and fight less effectively.
サセプタビリティ	Susceptibility
近接する敵の体質を弱体化し エレメンタルダメージと毒に対する 抵抗力を弱める	Weakens the constitution of adjacent enemies making them more susceptible to physical and elemental damage.
オーバーグロース	Overgrowth
ニンフが仲間の周囲に生命の盾を作り出す 盾は攻撃してくる敵を傷つけ ダメージを吸収する	Allows the Nymph to create a living shield around allies that absorbs damage and harms enemies that strike it.
ネイチャーズ・ラス	Nature's Wrath
ニンフの攻撃にエレメンタルパワーを付与する	Imbues the Nymph's attacks with the power of the elements.
スティンギング・ネトル	Stinging Nettle
ブライアー・ウォードを攻撃する敵に毒を与える	Causes enemies who hit the Briar Ward to suffer poisoning.
ストレングス・オブ・パック	Strength of the Pack
狼の遠吠えを聞いた者は勇気づけられ 獰猛に戦うようになる	The howl of your wolves emboldens the hearts of those who hear it causing them to fight more fiercely.
ドッジ・アタック	Dodge Attacks
どんなに丈夫な鎧にも隙間はある 生き残るには攻撃に当たらないことが 最も望ましい	Even the sturdiest armor has its chinks.  The best way to stay alive is to not get hit.
デトネート	Detonate
モンスタールアーに隠し炸薬を設置し爆破する 爆破するにはルアーのエナジーが 満タンでなければならない	Adds a hidden explosive charge to the monster lure causing it to detonate when destroyed.  In order to detonate the lure must be at full energy.
ポイズン・ガス・ボム	Poison Gas Bomb
爆弾を投げ 破裂した瞬間に毒ガスの雲が発生し 周囲の敵にダメージを与える 混乱・恐慌・武器の命中率低下などの 副作用がある。	Lobs a bomb that will burst on impact releasing a cloud of toxic gas that damages enemies and impairs their attacks.
シュラプネル	Shrapnel
揮発性の液体と金属片が詰まっており 毒ガス爆弾が破裂した瞬間に 一帯に破片が飛び散る	Packed with volatile liquid and metal scraps, the Poison Gas Bomb will explode violently on impact showering the area with deadly Shrapnel.  Each fragment of shrapnel inflicts piercing damage to the enemies it hits.
ポイズン・クラウド	Poison Cloud
隠し炸薬により モンスタールアーが破壊された時に爆発する モンスタールアーのエネルギーが 満タンでないと爆発しない。	A hidden explosive charge causes the monster lure to detonate when destroyed.  In order to detonate the lure must be at full energy.
モータル・ウーンド	Mortal Wound
リーサル・ストライクにスタン効果が加わり 毒と出血ダメージの威力が著しく増大する	Stuns victims of Lethal Strike and greatly magnifies the impact of poison and bleeding damage caused by the attack.
ディスアーム・トラップ	Disarm Traps
トラップと魔法装置の専門知識を学び ダメージ回避と無力化を容易にする	Expertise with traps and magical devices allows the Rogue to easily disable them and avoid their damage.
ネガティブ・エナジー・ヴォーテクス	Negative Energy Vortex
負のエナジーの渦を作り出し 味方にかけられた負の魔法と 敵にかけられた強化魔法を全て剥がす さらに敵のエナジーを奪い その量と同等のダメージを与える	Creates a vortex of negative energy that strips negative enchantments off allies and positive enchantments off enemies.  Also drains enemy energy and inflicts damage equal to a portion of the energy depleted.
デス・チェイン	Death Chain
ネガティブ・エナジー・ヴォーテクスが 最初のターゲットを貫通し 隣接する敵にも炸裂する	Causes the Negative Energy Vortex to blast through the primary target and hit adjacent enemies.
アーケイン・ブラスト	Arcane Blast
リッチキングが古代の秘術を使い エレメンタルエナジーの矢を作りだし 敵に撃ち込む	Drawing upon ancient arcane craft the Liche King forms deadly bolts of elemental energy and launches them at enemies.
サモン・アウトサイダー	Summon Outsider
強力な異次元の存在を呼び起こす 短時間しかこちら側に繋ぎとめることはできない	Calls forth a powerful extra-dimensional entity from beyond the ether.  The link can only be maintained for a short time.
コンカッション・ブロウ	Concussive Blow
棍棒系の武器を装備しているとき スタン頻度と効果時間が増大する	Adds a chance for attacks to stun enemies and increases the duration of stun attacks when wielding a club or axe.
フリージング・ブラスト	Freezing Blast
敵を氷の中に閉じ込め動けなくするが ダメージを与えることが困難になる	Encases enemies in ice, immobilizing them but also making them more difficult to damage.
アイ・オブ・ストーム	Eye of the Storm
ウィスプが周囲の味方の雷と冷気ダメージ 及び抵抗力を増加させる能力を得る	A wisp ability that increases elemental damage of all nearby allies for a duration and provides protection from lightning and cold damage.
アブソーブ・ライフ	Absorb Life
武器攻撃で失われた敵のヘルスの一定量を 吸収する	Absorbs a portion of the life that leaves enemies as you inflict weapon damage upon them.
デス・ノヴァ	Death Nova
死の波動を放出する それに触れた生物は生命力が弱体化する	Emits a wave of death that will deplete life from any living being it contacts.
ギャザー・ライフ	Gather Life
デス・ノヴァにより失われた生物の生命力を集め 自分に補給する	Gathers the living essence torn from creatures by Death Nova and uses it to supplement your lost life.
ライフ・ドレイン	Life Drain
敵のヘルスを吸い取り術者のヘルスを回復する	Leaches life from an enemy to replenish your own.
カスケード	Cascade
ライフ・ドレインが 最初のターゲットから飛び移り 複数の敵に影響を及ぼす	Causes Life Drain to blast through the primary target and hit multiple enemies.
経験石	Stone of Experience
偉大な知識と精神の鋭さを得る 得られる経験が大きく増加する	You have been granted great wisdom and acuity of mind, significantly increasing how quickly you can gain experience.
エンスレイブ・スピリット	Enslave Spirit
敵の心理障壁をすり抜け心を支配し 術者の意思に従わせる 奴隷化した敵は術者の命令に従うが しばらくすると心を取り戻し反撃してくる	Slip through the barriers of your enemies' consciousness and dominate their mind, binding them to your will.  While enslaved your enemy will be forced to obey your commands but eventually they will regain control of their mind and turn against you.  {^y}Ineffective against monsters five or more levels above you.
ターニオン・アタック	Ternion Attack
強力な魔術師の技術で、継続的にエネルギーを スタッフに送り込むことで スタッフ攻撃が3重になる	This powerful wizard's trick causes your staff to shoot three projectiles by channeling magical energy into it.  Initially each hit is not as powerful as a normal attack but the effectiveness increases every level.
アーケイン・ロア	Arcane Lore
古代文明の魔術師は 魔法の杖の破壊力を高める秘技を たくさん編み出した その知識を学ぶことで スタッフの真の力を引き出す	The magic practitioners of older civilizations devised many insidious techniques to bolster the destructive capabilities of their magical staves.  Knowledge of these methods will unlock the true power of your staff attacks.
オブスキュア・ヴィジビリティ	Obscured Visibility
スコール内の視界が悪化し 敵の攻撃力や防御力が減少する	Reduced visibility inside the Squall makes it difficult for enemies to effectively attack or defend themselves.
イーサ・ストライク	Ether Strike
異世界の力を敵にぶつけ 敵の魂に現実世界の構造を焼き付ける	Strikes with otherworldly energy that has the power to sear an enemy's spirit from the very fabric of reality.
スペクトラル・ボルト	Spectral Bolt
霊的な力の矢を放ち 触れた生き物の命を消耗させる	Casts a bolt of spectral energy that depletes life from any living thing it touches.
イーサ・サージ	Ether Surge
異世界の力を発射し 敵の魂を焼いて消滅させる	Sends out a wave of ethereal energy that burns enemies' spirits out of existence.
プラズマ・バーン	Plasma Burn
エレメンタルエナジーで敵を消毒する	Scalds enemies with a blast of elemental energy.
ザップ	Zap
雷攻撃で敵を感電死させる	Electrocutes enemies with lightning attacks.
ストーム・プロパティー	Storm Properties
ライト・ボルト	Light Bolt
ヘビー・ボルト	Heavy Bolt
ピアシング・ボルト	Piercing Bolt
フック・ボルト	Hooked Bolt
マグマ・ストライク	Magma Strike
ボウ・アタック	Bow Attack
バースト・オブ・スピード	Burst of Speed
フレンジ	Frenzy
スレトニング・ベロウ	Threatening Bellow
ブレード・ストーム	Blade Storm
スピリット・ウォード	Spirit Ward
魔法の結界で術者と周囲の仲間を アンデッドの攻撃から守る アンデッドから受けるダメージが減少する	Casts a protective ward that will reduce the damage of undead attacks on the player and nearby allies.
スピリット・ベイン	Spirit Bane
スピリット・ウォードの効果を受けているとき アンデッドに対するダメージが増加する	Adds damage against undead to the attacks of those under the effects of Spirit Ward.
エナジー活性の祭壇	Energizing Shrine
Infuses the player with arcane power, dramatically increasing energy regeneration.	Infuses the player with arcane power, dramatically increasing energy regeneration.
サンダークラップ	Thunderclap
電気エネルギーを環状に放出し 範囲内の敵をスタンさせる	Releases an electrical ring of energy that stuns enemies within its radius.
チャージ	Charge
敵に突撃して攻撃をし 追加ダメージを与える	Charges the target and executes an attack inflicting bonus damage.
ランギッシュ	Languish
病気になった敵を衰弱させ 物理抵抗力と移動速度を低下させる	Causes diseased enemies to waste away weakening their resistance to physical attacks and slowing their movements.
